Stat_ID,MONLOC_AB,DataLoggerLineName,Stat_DATE,ActivityIdentifier,ActivityMediaName,CharacteristicName,StatMEASURE,ResultMeasureUnitCode,DataType,UseForCalc,StatisticalBaseCode,TimeBasisName,NumResults,COMMENTS,CreatedDateTime,LastChangeDate,ActivityInTWQD
AF53CF51-A9E6-40FB-A82C-ECDA647911A4,ANDERTH2,21119033,8/5/2022,ANDERTH2_20220805_2022Sum_TS,Water,"Temperature, water",14.0302,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF53E4BB-D039-4617-B181-1D38BADBE391,NFWINFDTH1,21119068,12/12/2021,NFWINFDTH1_20211212_2021Fall_TS,Water,"Temperature, water",5.96038,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF553151-0FB3-499F-A14C-40C4EE64DC4F,WPOLETH1,20386528,6/30/2021,WPOLETH1_20210630_2021Sum_TS,Water,"Temperature, water",14.122,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AF559071-EA0B-4C41-94C1-5279564CE3A1,LOSTTH1,21119070,8/11/2021,LOSTTH1_20210811_2021Sum_TS,Water,"Temperature, water",15.0349,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
AF560B37-84C4-4A76-97FF-4545DF0222DE,CHALATH1,21119069,3/7/2022,CHALATH1_20220307_2021Fall_TS,Water,"Temperature, water",6.30358,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF56A1A2-B95A-4775-AC11-94F99FEBCD99,MAPLETH2,20386529,9/21/2021,MAPLETH2_20210921_2021Sum_TS,Water,"Temperature, water",11.2158,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
AF57389A-AA91-460E-8D1F-E90CF7078EE9,CHALATH1,21119069,10/30/2021,CHALATH1_20211030_2021Fall_TS,Water,"Temperature, water",8.47005,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF5A6D85-1DED-4F20-8ABB-0B8905EECDB5,CEDARTH2,21119083,2/7/2022,CEDARTH2_20220207_2021Fall_TS,Water,"Temperature, water",6.4522,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AF5B2935-83F9-49D7-ABA7-DE1952DAC053,WFKALTH1,21337440,9/4/2022,WFKALTH1_20220904_2022Sum_TS,Water,"Temperature, water",15.4723,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AF5CAB0B-98E2-4622-9C96-6EC8E503914F,ROCKTH1,21337446,6/12/2022,ROCKTH1_20220612_2022Sum_TS,Water,"Temperature, water",9.04,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AF5CB5D5-65FC-45E6-83D5-68634FD5618A,GOODTH2,21119036,6/3/2022,GOODTH2_20220603_2022Sum_TS,Water,"Temperature, water",10.5507,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
